eeg_1,eeg_2,eeg_3,eeg_4
777.25275,767.1795,821.978,796.1905
788.93774,772.01465,829.6337,805.4579
781.28204,778.86444,834.0659,789.7436
776.8498,776.4469,829.2308,804.65204
777.25275,774.43225,830.4396,818.3516
775.64105,773.6264,819.15753,792.96704
773.22345,773.22345,818.3516,809.0842
774.83514,774.43225,825.6044,801.4286
784.10254,773.22345,823.1868,814.7253
784.90845,772.8205,827.619,814.7253
770,778.0586,828.022,808.68134
782.0879,775.2381,825.2015,801.8315
788.1319,770.80585,819.9634,815.5311
774.83514,779.2674,820.3663,807.0696
764.7619,775.2381,828.4249,784.10254
762.3443,767.1795,825.6044,795.78754
773.6264,774.43225,821.978,805.05493
781.685,782.49084,828.4249,800.2198
782.0879,782.8938,830.0366,792.96704
772.01465,780.87915,828.4249,803.8461
757.1062,776.8498,823.9927,801.4286
771.2088,775.2381,822.381,803.0403
801.4286,780.4762,812.71063,801.8315
783.2967,776.4469,813.5165,791.3553
761.9414,775.2381,825.6044,798.60803
777.25275,785.7143,822.381,795.38464
788.5348,784.90845,816.7399,793.36993
786.9231,774.0293,819.5604,803.0403
782.49084,776.8498,817.5458,801.02563
780.4762,776.4469,814.7253,805.05493
797.3993,784.5055,815.9341,828.4249
811.0989,794.17584,817.9487,824.3956
792.1612,787.326,820.3663,790.54944
786.9231,782.8938,811.50183,788.5348
803.0403,783.69965,807.0696,819.5604
807.47253,788.1319,812.3077,834.0659
794.57874,784.5055,812.3077,799.41394
788.93774,784.5055,811.50183,777.25275
793.7729,786.52014,812.3077,801.4286
788.5348,776.8498,814.7253,804.65204
792.96704,775.64105,810.696,813.1135
803.44324,793.7729,803.8461,823.1868
798.60803,803.0403,806.26373,814.3223
794.57874,799.41394,807.47253,794.9817
780.07324,798.60803,811.9048,795.38464
784.10254,795.38464,811.50183,813.1135
799.41394,792.5641,801.02563,818.3516
796.5934,794.9817,804.2491,815.12823
777.6557,794.17584,806.26373,784.5055
779.67035,795.38464,803.44324,787.72894
801.4286,796.5934,796.99634,817.1429
799.81683,796.1905,796.5934,803.8461
789.34064,793.36993,800.6227,774.0293
787.72894,790.54944,798.20514,786.52014
793.7729,796.1905,792.96704,793.36993
792.5641,798.60803,792.5641,797.3993
798.60803,801.02563,801.4286,817.5458
799.011,795.38464,798.60803,803.0403
792.5641,794.17584,791.75824,799.41394
793.7729,803.0403,792.1612,799.41394
796.1905,804.65204,795.78754,798.20514
794.57874,806.6667,792.96704,802.6374
786.52014,804.2491,792.1612,793.7729
787.326,799.011,798.60803,793.7729
792.96704,802.23444,800.6227,795.38464
790.54944,808.68134,796.5934,810.696
786.52014,813.91943,788.5348,803.8461
780.07324,813.1135,790.9524,781.685
780.87915,815.12823,790.9524,770
783.2967,814.3223,781.28204,773.22345
789.7436,813.91943,784.10254,792.1612
785.31134,813.91943,792.5641,794.9817
775.64105,811.0989,791.3553,792.5641
774.43225,820.7692,788.1319,771.2088
786.9231,825.2015,786.1172,779.67035
790.54944,820.3663,785.7143,790.9524
784.90845,821.5751,786.9231,794.17584
778.46155,811.0989,788.5348,787.72894
779.2674,811.50183,782.49084,779.67035
791.75824,824.3956,779.67035,784.90845
778.86444,823.9927,783.69965,782.8938
765.9707,823.9927,781.28204,778.46155
784.5055,830.4396,780.4762,772.8205
797.8022,823.1868,778.86444,769.59705
788.93774,815.9341,782.8938,775.64105
793.7729,826.4103,788.93774,798.60803
794.57874,826.0073,783.69965,807.8755
778.86444,818.7546,785.7143,810.696
789.7436,828.8278,790.14655,800.2198
797.8022,835.2747,788.5348,785.31134
791.75824,828.8278,783.69965,790.54944
795.78754,828.8278,785.31134,788.93774
788.5348,827.2161,788.1319,796.5934
772.4176,828.022,778.46155,786.9231
784.5055,832.4542,777.25275,765.9707
774.43225,832.8571,779.67035,772.01465
790.14655,832.0513,775.2381,779.67035
783.2967,827.2161,784.90845,803.0403
778.46155,825.2015,780.07324,782.49084
772.4176,819.9634,772.01465,767.1795
780.4762,819.9634,772.01465,767.5824
799.41394,832.4542,767.1795,788.5348
809.89014,834.4689,765.16486,799.81683
793.7729,821.5751,776.4469,790.54944
768.7912,808.68134,779.2674,773.22345
776.8498,807.0696,770.40295,775.64105
794.17584,814.7253,767.98535,794.9817
797.3993,816.7399,769.59705,796.1905
788.1319,816.337,773.6264,787.72894
796.99634,826.4103,773.22345,783.2967
806.6667,822.7839,776.4469,784.5055
803.8461,819.15753,780.4762,801.8315
795.38464,815.12823,780.87915,804.65204
786.9231,808.68134,785.31134,799.41394
799.011,809.0842,787.72894,801.4286
799.011,816.337,786.9231,782.49084
790.9524,820.3663,787.326,782.0879
794.57874,816.7399,789.7436,806.26373
786.1172,814.7253,792.96704,803.44324
783.2967,813.91943,793.7729,792.5641
