eeg_1,eeg_2,eeg_3,eeg_4
805.4579,794.9817,797.8022,817.1429
817.9487,797.8022,796.5934,958.97437
801.4286,799.81683,800.6227,684.17584
780.4762,794.17584,794.9817,582.6374
787.72894,796.99634,791.75824,774.43225
808.68134,794.17584,792.1612,951.31866
807.47253,803.0403,799.41394,899.7436
805.05493,792.1612,793.7729,911.4286
785.31134,797.8022,793.36993,698.68134
761.13556,788.5348,789.34064,551.2088
767.98535,784.10254,788.93774,726.4835
787.326,796.5934,791.75824,938.4249
773.22345,798.20514,793.7729,706.7399
794.17584,800.6227,795.78754,933.1868
804.65204,806.6667,795.78754,954.94507
792.96704,802.6374,792.96704,771.6117
765.56775,783.69965,788.5348,587.8755
768.3883,789.34064,790.9524,694.2491
799.011,794.9817,789.34064,919.4872
796.1905,804.65204,791.3553,912.23444
772.8205,798.60803,789.7436,714.3956
756.30035,792.96704,788.93774,563.2967
816.337,786.9231,790.54944,967.8388
799.011,787.72894,793.7729,813.91943
765.9707,786.9231,783.69965,601.1722
779.2674,784.10254,776.8498,661.6117
808.2784,789.7436,785.31134,908.60803
814.3223,792.96704,789.34064,978.71796
815.12823,799.41394,788.5348,839.304
797.3993,801.02563,786.52014,636.2271
784.10254,790.54944,786.52014,649.12085
792.1612,787.326,787.326,870.7326
801.4286,797.3993,791.75824,966.63007
797.3993,801.4286,796.99634,854.61536
767.5824,793.7729,792.5641,633.00366
756.7033,789.7436,787.326,609.6337
778.86444,795.38464,791.75824,839.707
789.7436,801.02563,793.36993,951.7216
767.1795,794.9817,786.9231,835.6777
742.1978,786.52014,784.10254,614.0659
728.0952,789.34064,786.9231,569.34064
759.92676,795.78754,786.52014,783.69965
795.38464,793.36993,786.52014,934.3956
786.9231,795.78754,790.9524,857.03296
758.315,797.8022,788.93774,637.03296
737.76556,792.96704,785.7143,547.98535
767.5824,792.96704,792.96704,748.6447
807.0696,796.99634,803.44324,945.6777
774.83514,789.7436,800.6227,886.4469
752.27106,789.34064,801.4286,671.685
765.16486,786.9231,803.0403,574.57874
778.0586,785.7143,802.6374,736.9597
809.0842,794.17584,802.23444,931.1722
814.3223,796.1905,801.8315,927.1429
776.4469,787.72894,799.41394,727.6923
756.30035,786.52014,795.78754,572.1612
776.04395,792.5641,795.38464,718.8278
801.02563,796.1905,798.60803,936.4103
807.8755,792.5641,803.8461,946.08057
793.7729,787.72894,805.05493,770
768.3883,784.90845,803.44324,585.8608
794.17584,783.2967,795.78754,900.54944
761.9414,780.87915,800.6227,676.52014
806.6667,788.93774,800.2198,942.8571
790.54944,788.5348,801.02563,775.64105
758.71796,786.1172,790.9524,579.011
750.65936,786.52014,793.7729,657.1795
788.5348,786.9231,801.8315,891.685
803.0403,787.326,801.8315,947.6923
787.326,782.49084,799.41394,809.0842
767.5824,780.87915,798.60803,611.2454
776.4469,783.2967,799.81683,646.7033
811.9048,784.10254,797.8022,880
807.8755,791.3553,795.78754,979.92676
791.3553,791.75824,796.5934,873.1502
796.1905,790.9524,794.9817,664.43225
792.1612,794.17584,792.1612,651.13556
804.2491,801.8315,791.75824,884.83514
816.7399,804.65204,791.75824,1009.7436
818.7546,800.2198,795.78754,909.41394
815.9341,798.20514,797.8022,693.8461
807.8755,800.6227,793.7729,644.68866
812.71063,801.4286,790.54944,849.7802
829.2308,800.6227,794.17584,997.25275
836.4835,799.41394,796.5934,936.0073
813.1135,794.57874,792.5641,725.6777
801.02563,794.57874,791.75824,637.8388
813.91943,793.7729,790.14655,825.2015
829.6337,794.57874,789.34064,1002.49084
838.9011,808.68134,793.36993,965.82416
816.337,805.4579,788.93774,747.03296
794.17584,788.1319,782.49084,616.8865
803.0403,792.1612,783.2967,805.8608
815.5311,798.20514,787.326,989.59705
813.91943,800.6227,792.96704,959.7802
795.78754,805.05493,796.99634,766.3736
776.4469,795.78754,788.93774,606.8132
779.67035,783.69965,784.10254,742.6007
785.7143,786.1172,791.75824,938.022
796.99634,786.52014,795.38464,940.4396
783.69965,782.0879,795.78754,781.28204
755.09155,787.326,801.8315,620.5128
772.4176,797.3993,802.6374,726.08057
784.5055,788.93774,791.75824,917.0696
778.46155,783.69965,784.5055,941.2454
767.1795,791.75824,784.10254,781.28204
736.9597,785.7143,779.2674,580.2198
739.3773,781.28204,775.2381,656.77655
768.7912,777.6557,778.86444,873.95605
755.89746,770.40295,782.8938,927.5458
740.18317,766.3736,782.49084,796.5934
726.8865,761.9414,776.04395,586.26373
719.6337,761.13556,763.1502,600.7692
745.42126,772.01465,770.80585,836.8865
747.03296,766.3736,778.0586,927.1429
731.31866,756.30035,771.2088,796.1905
720.4396,759.92676,771.2088,584.2491
698.2784,758.315,775.2381,580.2198
720.0366,758.71796,775.64105,801.4286
756.30035,767.5824,773.6264,934.3956
749.45056,765.9707,777.25275,840.9158
706.7399,755.89746,782.0879,593.5165
716.8132,757.9121,780.4762,777.6557
748.24176,770,780.4762,931.5751
758.71796,784.90845,785.31134,871.53845
738.1685,779.67035,788.93774,661.6117
708.7546,761.13556,782.8938,556.8498
728.9011,764.35895,784.90845,752.27106
774.0293,768.7912,785.7143,936.4103
771.2088,766.77655,784.90845,892.0879
689.81683,753.8828,781.28204,547.1795
746.63007,764.7619,791.3553,700.696
728.0952,762.3443,787.72894,580.6227
769.19415,770,785.31134,916.6667
750.65936,767.1795,786.1172,732.52747
765.9707,771.2088,782.8938,938.022
742.1978,768.3883,783.69965,751.8681
731.31866,764.7619,785.31134,585.05493
752.27106,757.1062,784.90845,743.00366
770.80585,750.65936,786.9231,952.9304
784.10254,759.12085,790.54944,952.9304
783.69965,761.9414,787.326,774.0293
746.63007,751.8681,784.90845,597.9487
743.8095,750.65936,789.34064,707.5458
775.2381,759.5238,790.14655,936.8132
802.6374,765.9707,791.3553,984.7619
794.57874,771.6117,786.52014,812.3077
755.4945,776.04395,778.86444,603.9927
759.12085,776.04395,780.87915,686.5934
809.0842,786.1172,790.14655,938.022
819.15753,790.9524,796.5934,995.2381
780.07324,776.4469,789.34064,814.3223
762.3443,772.01465,782.8938,615.6777
772.8205,774.83514,781.28204,668.46155
797.3993,784.5055,782.8938,900.54944
807.0696,788.93774,788.93774,996.8498
792.5641,783.2967,792.96704,867.1062
772.8205,780.07324,790.54944,658.3883
785.7143,780.87915,791.75824,669.67035
807.0696,786.1172,791.75824,878.7912
820.3663,792.5641,788.93774,995.64105
830.84247,803.44324,791.3553,906.99634
818.3516,802.23444,789.7436,689.41394
791.75824,793.36993,787.326,640.2564
812.3077,792.96704,784.10254,996.04395
791.3553,790.9524,786.9231,846.55676
822.381,800.6227,783.69965,925.9341
813.91943,799.81683,784.90845,711.978
790.14655,793.36993,781.685,633.4066
806.6667,796.99634,782.0879,838.9011
837.6923,797.3993,784.90845,1006.1172
838.0952,798.60803,786.52014,959.3773
810.293,803.0403,787.72894,749.0476
795.78754,806.6667,785.31134,632.6007
806.6667,803.0403,784.10254,813.91943
813.5165,797.8022,783.69965,998.86444
819.15753,793.7729,788.1319,971.06226
799.011,790.54944,786.52014,774.0293
782.8938,788.93774,778.46155,629.7802
795.38464,789.34064,781.28204,781.28204
828.8278,794.9817,785.7143,994.0293
817.9487,795.38464,783.69965,838.9011
836.8865,797.8022,787.72894,1014.17584
796.5934,792.5641,780.4762,643.8828
828.022,796.5934,780.4762,977.9121
846.1539,799.81683,784.90845,993.22345
826.8132,803.44324,783.2967,809.4872
790.54944,799.41394,777.25275,626.9597
793.7729,795.78754,773.6264,740.989
808.2784,794.9817,786.9231,722.0513
834.4689,801.8315,790.9524,946.8865
849.3773,809.0842,794.9817,1021.02563
831.2454,805.4579,794.9817,881.2088
796.1905,800.6227,790.14655,655.9707
819.9634,801.4286,792.5641,929.15753
829.6337,806.26373,793.36993,1013.36993
814.3223,805.4579,789.34064,890.87915
793.36993,801.8315,787.72894,665.2381
792.1612,796.1905,790.14655,659.59705
811.50183,795.38464,791.75824,896.1172
824.7985,805.4579,793.7729,1024.652
827.619,805.4579,795.78754,924.7253
815.9341,798.60803,792.5641,693.44324
792.5641,798.60803,788.5348,691.4286
790.14655,795.38464,788.93774,642.674
826.4103,802.6374,794.57874,1016.1905
827.619,805.4579,797.8022,940.84247
805.8608,806.26373,794.57874,705.5311
785.31134,806.26373,788.5348,624.94507
803.0403,803.0403,787.72894,837.6923
821.1722,794.17584,786.1172,1002.49084
826.0073,800.2198,789.34064,955.7509
826.4103,809.89014,791.3553,751.4652
809.89014,801.8315,787.326,622.9304
805.8608,796.5934,791.3553,863.47986
811.50183,801.02563,789.7436,797.3993
829.6337,800.6227,790.9524,999.67035
822.7839,799.41394,796.99634,969.0476
807.8755,802.23444,796.99634,755.09155
784.5055,796.1905,786.9231,600.3663
784.5055,797.3993,789.34064,742.6007
809.89014,800.6227,796.5934,960.989
778.86444,794.17584,792.96704,749.0476
762.3443,796.1905,797.3993,558.0586
765.9707,801.4286,800.6227,680.54944
786.9231,806.6667,799.41394,919.0842
785.31134,804.2491,797.8022,958.97437
814.3223,803.0403,795.38464,961.79486
766.3736,805.8608,799.011,787.326
744.21246,799.41394,794.17584,562.49084
757.1062,788.93774,786.1172,636.63007
795.38464,799.011,799.011,962.1978
782.49084,792.5641,792.1612,888.0586
796.1905,804.65204,800.2198,819.9634
764.7619,797.8022,793.36993,588.2784
756.30035,793.36993,790.54944,616.08057
794.57874,801.8315,791.75824,866.7033
809.89014,805.4579,790.9524,979.5238
799.011,803.0403,794.57874,852.6007
772.8205,799.011,790.54944,605.2015
765.16486,796.1905,790.54944,595.9341
778.86444,793.7729,794.57874,842.9304
811.50183,799.011,794.17584,985.16486
807.0696,804.2491,794.9817,879.59705
778.86444,802.23444,794.17584,617.6923
772.4176,801.4286,794.17584,564.5055
774.43225,791.75824,792.96704,791.75824
778.0586,787.72894,795.78754,956.9597
783.2967,797.3993,799.81683,896.9231
740.58606,790.9524,801.02563,553.6264
770,794.57874,799.81683,778.46155
762.3443,796.1905,802.23444,653.1502
790.54944,796.1905,804.2491,985.56775
769.19415,795.78754,796.5934,582.23444
794.9817,796.99634,794.17584,778.0586
815.9341,809.0842,799.81683,1004.5055
819.5604,807.47253,806.26373,997.6557
808.68134,797.3993,805.05493,773.6264
790.9524,800.6227,801.02563,715.2015
798.20514,797.8022,805.8608,944.4689
785.31134,795.38464,796.1905,602.7839
802.6374,794.9817,788.93774,776.04395
844.5421,797.3993,792.96704,1023.0403
867.9121,805.8608,795.78754,1035.1282
847.3626,809.0842,794.57874,836.4835
796.5934,800.2198,793.36993,635.0183
801.8315,799.41394,792.1612,759.12085
826.8132,806.26373,795.38464,1010.54944
839.707,802.6374,794.9817,1044.7986
838.49817,804.2491,797.8022,857.8388
786.1172,799.81683,793.7729,620.9158
790.9524,794.9817,793.7729,703.1135
829.6337,799.011,798.60803,967.03296
820.3663,796.1905,795.38464,1023.8461
802.6374,796.99634,788.5348,860.65936
774.83514,796.1905,785.31134,631.79486
772.8205,795.38464,787.326,667.25275
838.9011,806.26373,799.41394,1037.5458
807.47253,799.81683,790.9524,919.89014
838.9011,806.26373,797.3993,916.26373
807.8755,803.0403,790.9524,672.49084
809.89014,803.0403,791.3553,662.8205
826.4103,800.2198,788.5348,908.20514
827.2161,796.5934,789.34064,1044.3956
833.663,801.4286,794.57874,946.08057
827.619,801.4286,793.36993,699.89014
820.3663,799.41394,789.34064,659.19415
834.0659,805.05493,789.7436,886.8498
846.9597,799.41394,788.1319,1035.1282
841.7216,796.5934,787.72894,963.00366
836.8865,808.2784,793.36993,722.8571
810.696,805.4579,787.72894,626.9597
820.3663,802.6374,784.90845,845.34796
867.1062,811.50183,794.57874,1037.5458
841.7216,804.65204,793.36993,968.6447
794.9817,792.96704,784.5055,702.71063
784.90845,792.96704,786.52014,582.23444
795.38464,796.1905,793.7729,779.67035
813.91943,799.011,798.20514,974.2857
803.44324,799.81683,800.2198,944.4689
780.07324,800.2198,799.81683,727.28937
761.53845,801.4286,796.1905,566.52014
794.57874,799.81683,802.23444,930.7692
803.8461,800.2198,807.47253,944.87177
771.6117,797.3993,799.81683,737.3626
753.8828,799.011,802.23444,557.25275
764.35895,799.011,794.17584,711.1722
778.0586,799.011,802.6374,694.2491
806.26373,801.4286,799.011,933.1868
817.5458,803.44324,798.20514,965.0183
812.71063,801.8315,794.17584,791.75824
776.04395,796.5934,792.96704,583.0403
761.53845,791.75824,784.90845,656.3736
817.1429,796.1905,796.5934,834.4689
785.31134,791.3553,790.14655,598.3516
782.49084,793.36993,791.75824,633.4066
811.9048,799.41394,798.60803,881.6117
826.0073,805.05493,795.38464,992.01465
800.6227,800.6227,785.7143,910.6227
804.65204,792.5641,792.5641,971.8681
797.8022,795.38464,797.8022,838.9011
782.0879,797.3993,801.4286,604.7985
757.1062,791.3553,795.38464,607.619
775.64105,794.57874,797.8022,838.0952
788.93774,798.20514,804.2491,948.0952
754.2857,790.54944,800.2198,609.6337
744.61536,789.34064,803.8461,571.75824
759.5238,798.60803,799.81683,788.5348
780.4762,805.05493,789.34064,937.2161
787.72894,802.6374,791.75824,872.3443
753.8828,791.75824,797.8022,630.18317
731.7216,784.5055,799.41394,539.92676
755.4945,789.34064,796.99634,742.1978
772.8205,797.8022,797.8022,915.05493
770.40295,801.8315,798.60803,869.12085
780.4762,796.5934,805.4579,843.73627
753.8828,803.44324,801.4286,650.32965
748.24176,794.9817,802.23444,527.8388
766.3736,793.7729,797.8022,721.2454
776.8498,803.0403,793.7729,930.7692
790.54944,806.26373,793.36993,911.4286
792.96704,809.0842,792.96704,711.5751
786.9231,803.8461,795.38464,724.4689
796.5934,811.50183,789.7436,945.6777
785.31134,807.0696,796.5934,572.96704
819.9634,812.71063,787.326,965.0183
813.1135,807.8755,785.31134,765.16486
787.72894,812.3077,786.9231,579.41394
800.6227,817.9487,788.1319,710.7692
823.9927,823.1868,800.2198,973.8828
827.2161,827.2161,793.7729,952.9304
791.3553,816.337,794.57874,789.7436
793.36993,819.15753,790.54944,690.2198
817.9487,819.5604,794.57874,935.6044
776.8498,815.12823,791.3553,592.71063
826.0073,812.71063,799.41394,990.40295
807.8755,811.9048,793.7729,834.4689
792.1612,814.3223,791.3553,612.0513
794.9817,811.0989,788.93774,664.0293
817.9487,813.5165,786.9231,916.26373
839.707,819.5604,791.3553,1018.60803
799.41394,810.696,787.72894,623.3333
800.2198,806.6667,787.326,638.24176
830.0366,813.1135,792.1612,897.72894
855.0183,816.337,794.9817,1029.8901
848.5714,815.9341,794.17584,922.71063
809.89014,812.3077,790.14655,674.10254
792.96704,801.8315,782.49084,631.39197
804.2491,801.02563,783.69965,868.71796
834.0659,808.68134,788.5348,1019.41394
822.7839,816.337,790.54944,876.3736
844.94507,815.5311,794.57874,930.3663
801.8315,809.4872,797.3993,687.3993
781.28204,803.8461,794.17584,606.4103
804.2491,803.0403,794.57874,828.8278
814.7253,801.8315,799.81683,1000.4762
795.78754,794.57874,800.2198,932.7839
773.22345,799.41394,794.57874,701.50183
752.674,803.0403,790.54944,579.81683
765.9707,795.38464,793.36993,776.04395
788.93774,796.99634,795.78754,981.13556
798.60803,805.4579,796.1905,951.31866
779.2674,801.02563,794.9817,718.4249
752.27106,793.7729,791.3553,554.43225
773.6264,800.6227,792.1612,728.49817
794.57874,805.4579,797.8022,953.73627
789.34064,798.60803,796.1905,951.31866
776.8498,796.5934,794.57874,751.06226
757.1062,793.7729,791.75824,569.34064
765.56775,796.1905,792.1612,711.5751
797.3993,800.6227,798.60803,948.9011
799.81683,796.1905,801.4286,976.30035
789.7436,794.9817,800.2198,803.0403
782.8938,798.20514,798.20514,597.9487
780.07324,794.17584,803.0403,686.5934
788.93774,794.57874,805.4579,933.5897
807.8755,801.02563,801.02563,1006.52014
807.47253,806.6667,799.011,848.97437
772.8205,808.2784,794.57874,612.8571
774.43225,798.20514,793.36993,666.8498
794.9817,799.41394,796.99634,918.68134
808.68134,811.50183,796.1905,1006.1172
801.4286,805.4579,795.38464,863.8828
763.95605,797.3993,794.57874,616.8865
753.0769,792.96704,792.96704,617.6923
780.07324,793.7729,796.5934,866.7033
802.23444,800.2198,802.23444,1004.90845
801.4286,807.47253,809.0842,902.1612
