eeg_1,eeg_2,eeg_3,eeg_4
861.4652,795.78754,801.8315,1259.9634
899.34064,806.26373,801.02563,1463.0403
867.50916,806.26373,792.5641,1237.8022
799.011,803.8461,792.5641,728.0952
778.86444,806.26373,803.8461,597.9487
848.5714,805.05493,809.89014,1150.3663
874.35895,802.6374,807.8755,1372.7839
836.8865,801.02563,801.8315,1145.1282
773.6264,794.9817,792.5641,695.05493
760.32965,794.57874,789.34064,545.9707
836.4835,799.011,802.23444,1031.0989
854.61536,807.47253,805.05493,1205.9707
803.0403,808.68134,794.57874,793.36993
872.3443,802.6374,808.2784,1329.2675
769.19415,807.8755,787.326,508.09525
841.31866,811.9048,799.81683,931.5751
898.93774,811.50183,813.91943,1329.2675
880.0,810.696,819.5604,1232.5641
809.4872,803.8461,809.89014,809.89014
759.92676,790.14655,795.38464,483.9194
811.9048,790.9524,805.8608,844.94507
876.77655,805.4579,812.3077,1241.8315
872.3443,806.6667,806.26373,1210.403
823.9927,799.011,798.60803,870.7326
783.69965,802.6374,801.4286,473.84616
832.4542,804.2491,814.7253,755.4945
883.6264,796.99634,817.1429,1234.5787
871.53845,799.011,811.0989,1235.3846
828.8278,800.6227,799.41394,909.41394
776.4469,795.78754,784.5055,480.69598
797.3993,799.41394,789.34064,695.05493
858.24176,800.2198,802.6374,1207.5824
827.2161,790.9524,808.68134,952.1245
867.50916,789.7436,807.8755,1220.0732
764.7619,796.99634,795.78754,533.8828
774.0293,796.5934,793.36993,614.0659
853.4066,800.6227,804.65204,1159.2307
863.47986,798.20514,805.05493,1304.6886
814.7253,791.75824,805.4579,1038.7546
749.85345,788.1319,795.78754,570.54944
748.24176,786.1172,793.7729,567.72894
829.6337,786.1172,805.4579,1132.2344
851.79486,788.1319,809.0842,1304.6886
818.3516,790.54944,804.65204,1076.63
749.85345,791.75824,787.72894,586.26373
840.10986,801.02563,798.20514,1139.8901
761.53845,790.54944,792.1612,670.07324
864.68866,802.23444,806.26373,1366.7399
760.7326,792.1612,799.41394,709.15753
744.61536,791.75824,798.60803,534.68866
811.50183,796.1905,817.5458,1079.8535
813.91943,798.60803,809.0842,1141.0989
838.49817,789.34064,812.3077,1376.8132
809.89014,787.72894,802.23444,1205.1648
772.01465,796.99634,803.44324,813.91943
736.1539,796.5934,803.0403,537.9121
788.1319,796.5934,810.293,1010.54944
830.0366,795.78754,809.4872,1242.6373
783.2967,788.5348,801.4286,879.59705
743.8095,788.5348,799.41394,596.337
790.54944,790.14655,810.293,955.7509
838.9011,790.9524,815.9341,1403.4066
827.619,794.9817,803.44324,1353.4432
788.1319,797.3993,792.1612,1042.7839
747.8388,792.1612,795.38464,752.674
797.8022,793.7729,810.696,1096.3737
843.3333,803.0403,813.91943,1404.2124
870.32965,797.8022,821.978,1587.1428
866.30035,798.20514,821.1722,1614.1392
759.12085,789.7436,799.011,950.10986
823.1868,795.38464,813.1135,1342.1611
791.75824,789.7436,800.2198,1201.1355
847.3626,799.41394,813.1135,1645.1648
861.8681,799.81683,815.5311,1605.6776
750.2564,786.52014,799.41394,1102.4176
767.5824,793.7729,811.9048,1226.5201
808.2784,790.14655,805.05493,1534.762
850.18317,803.44324,824.7985,1609.3041
861.06226,803.0403,811.50183,1638.7179
840.10986,799.011,797.3993,1598.022
791.75824,794.9817,790.54944,1207.5824
789.7436,798.60803,799.41394,1211.6117
846.1539,800.6227,814.3223,1589.1575
853.00366,797.3993,814.3223,1639.1208
828.8278,798.60803,801.4286,1617.3627
777.6557,794.17584,794.57874,1217.2528
776.4469,789.7436,794.9817,1097.1794
848.97437,794.9817,801.8315,1547.2528
872.74725,797.8022,813.91943,1649.1941
852.1978,795.78754,808.2784,1622.1978
794.9817,795.38464,804.2491,1298.2417
769.19415,796.99634,809.0842,1144.7252
846.55676,792.5641,805.8608,1641.5385
845.34796,796.99634,809.4872,1636.3004
791.3553,791.3553,808.2784,1396.1538
818.3516,792.5641,805.4579,1548.0586
824.7985,802.23444,815.12823,1523.8828
849.3773,795.38464,809.89014,1650.0
847.76556,796.1905,804.2491,1633.8828
815.12823,799.011,795.78754,1472.3077
764.7619,794.9817,811.9048,1159.6337
770.40295,797.8022,795.38464,1252.7106
822.381,801.02563,812.3077,1538.7913
863.0769,798.20514,817.9487,1645.5677
851.79486,792.96704,813.5165,1629.4506
815.12823,787.72894,793.7729,1593.9927
772.01465,784.90845,783.2967,1363.9194
808.2784,787.326,799.41394,1527.9121
838.0952,788.5348,805.05493,1650.0
836.4835,794.57874,807.0696,1624.2124
811.50183,795.78754,807.8755,1613.7362
765.16486,794.17584,800.6227,1430.0
791.75824,795.38464,802.23444,1541.6117
832.4542,798.60803,811.0989,1649.597
850.989,803.8461,813.5165,1619.3773
848.1685,810.293,812.3077,1626.63
800.2198,811.0989,806.6667,1502.1245
806.6667,809.0842,805.05493,1554.1025
853.8095,802.6374,814.3223,1641.5385
868.71796,802.23444,810.293,1620.989
862.27106,809.4872,800.6227,1633.4799
817.9487,805.8608,791.75824,1520.2565
830.4396,805.4579,798.20514,1540.0
855.42126,803.8461,809.4872,1637.5092
850.18317,806.26373,807.8755,1624.2124
837.6923,815.5311,799.41394,1629.8535
790.54944,811.50183,788.93774,1549.6703
774.83514,806.26373,789.34064,1574.249
830.0366,802.6374,797.8022,1639.5238
865.09155,803.8461,804.2491,1616.9597
855.82416,802.23444,801.02563,1639.5238
813.5165,796.1905,789.7436,1584.7252
798.60803,805.4579,792.96704,1537.5824
834.4689,812.3077,809.0842,1624.2124
853.8095,805.4579,814.7253,1621.7949
852.1978,796.5934,804.65204,1641.9414
812.3077,786.52014,794.17584,1573.0403
777.25275,784.90845,803.8461,1445.3114
817.9487,791.3553,813.91943,1590.3663
848.1685,792.1612,810.696,1629.8535
851.39197,794.9817,804.2491,1644.359
819.15753,800.6227,801.8315,1532.3444
778.0586,789.34064,792.1612,1296.227
826.8132,781.685,796.99634,1534.359
861.06226,785.31134,802.23444,1643.5531
847.3626,791.75824,798.20514,1639.1208
803.0403,792.96704,794.17584,1514.2124
733.73627,784.5055,789.34064,1145.1282
777.25275,786.1172,794.17584,1392.5275
851.39197,791.75824,807.47253,1644.359
848.97437,787.326,807.8755,1635.0916
827.2161,788.1319,805.05493,1510.586
774.43225,793.36993,800.6227,1096.3737
788.93774,794.9817,797.8022,1239.414
847.76556,794.17584,801.02563,1602.8572
842.52747,796.5934,797.8022,1645.9707
814.7253,796.99634,790.14655,1447.7289
765.16486,789.34064,789.7436,1018.20514
781.685,787.326,802.23444,1145.5311
853.8095,788.93774,814.7253,1579.4872
866.30035,794.57874,814.3223,1635.4945
822.7839,793.36993,801.4286,1381.6483
766.3736,788.1319,789.34064,944.4689
776.4469,792.1612,797.8022,979.12085
846.55676,792.1612,811.0989,1477.5458
880.80585,790.9524,815.5311,1610.1099
839.304,796.99634,809.4872,1324.4323
756.30035,793.7729,794.57874,830.4396
762.74725,795.38464,803.0403,780.4762
848.5714,802.6374,809.4872,1276.0806
857.8388,796.5934,797.3993,1413.8828
819.9634,793.36993,801.8315,1226.5201
773.22345,794.57874,798.60803,790.14655
764.7619,796.1905,791.75824,611.2454
835.2747,796.99634,798.60803,1103.2234
871.13556,798.60803,801.8315,1351.8315
858.24176,802.6374,803.0403,1170.9158
811.9048,804.2491,795.78754,754.2857
788.5348,799.81683,790.9524,497.21613
846.55676,796.99634,801.4286,918.68134
888.46155,802.23444,810.293,1216.4469
871.9414,800.2198,812.71063,1082.2711
816.337,791.75824,796.5934,723.2601
763.95605,790.9524,785.7143,412.1978
825.2015,794.57874,801.02563,794.57874
886.8498,795.38464,806.6667,1158.022
875.56775,792.96704,802.6374,998.86444
836.8865,789.7436,801.02563,669.2674
779.2674,786.1172,795.78754,339.2674
828.8278,793.36993,805.8608,633.8095
886.04395,794.17584,810.696,1060.9158
859.0476,790.54944,805.8608,996.4469
815.9341,794.9817,800.2198,684.57874
766.3736,796.99634,785.7143,291.72162
799.011,801.4286,787.326,499.23077
872.74725,796.5934,796.1905,963.00366
879.59705,792.1612,799.81683,948.9011
820.3663,794.57874,784.10254,668.86444
762.3443,791.3553,775.2381,238.93773
791.75824,793.36993,787.326,384.3956
860.2564,798.20514,796.5934,907.8022
854.61536,796.99634,796.1905,923.5165
807.8755,793.36993,796.99634,691.8315
761.53845,788.93774,790.54944,284.46887
774.0293,791.75824,782.0879,327.98535
853.8095,794.57874,794.57874,869.92676
877.98535,794.57874,801.4286,1000.87915
838.9011,794.17584,793.36993,731.7216
773.6264,784.5055,782.49084,265.93405
773.6264,789.7436,799.011,253.84616
854.61536,798.60803,807.8755,809.4872
868.71796,797.3993,800.6227,995.2381
826.4103,788.93774,799.41394,719.2308
782.49084,787.326,789.34064,310.65933
776.04395,792.5641,785.31134,232.49084
836.4835,792.5641,794.57874,708.3516
877.1795,799.011,800.6227,949.707
855.42126,806.6667,797.8022,811.9048
782.0879,801.4286,788.1319,435.56778
744.21246,801.02563,786.52014,173.26007
817.9487,804.65204,797.8022,665.2381
872.74725,800.2198,805.05493,1017.3993
843.73627,799.41394,801.4286,857.03296
787.326,797.3993,790.54944,469.011
754.2857,796.1905,786.52014,174.06593
810.293,801.02563,796.1905,575.38464
860.2564,801.4286,798.60803,1002.49084
844.1392,801.02563,795.38464,953.73627
808.68134,805.4579,790.54944,578.20514
755.4945,802.6374,783.2967,217.98535
784.10254,793.7729,793.36993,523.4066
849.3773,797.8022,799.41394,988.7912
846.1539,801.02563,796.99634,942.4542
809.89014,796.5934,792.96704,621.7216
765.56775,792.96704,776.8498,265.1282
798.20514,796.1905,784.10254,471.8315
871.13556,806.6667,802.6374,953.3333
875.9707,807.8755,803.0403,1009.34064
821.5751,796.99634,792.96704,703.91943
748.6447,791.75824,780.07324,278.82785
786.1172,801.8315,789.34064,426.7033
867.9121,807.8755,807.47253,959.3773
875.9707,796.5934,796.1905,1043.1868
839.707,793.36993,778.0586,757.1062
774.83514,794.57874,771.2088,346.92307
776.4469,790.54944,774.0293,386.41025
857.03296,796.5934,788.5348,959.7802
877.5824,792.96704,791.75824,1121.3553
828.4249,782.0879,788.5348,848.5714
756.30035,783.2967,784.5055,414.6154
760.7326,794.17584,785.7143,392.85715
836.8865,799.011,793.36993,940.84247
859.45056,805.05493,799.41394,1135.4579
830.0366,797.8022,790.54944,918.68134
773.6264,782.0879,772.8205,462.56412
774.0293,788.5348,782.0879,350.9524
856.2271,799.011,798.20514,917.0696
886.04395,798.20514,805.4579,1179.3773
843.3333,792.96704,797.3993,997.25275
781.28204,789.7436,774.43225,597.5458
748.6447,788.5348,775.2381,355.78754
822.381,796.1905,801.02563,838.0952
876.3736,795.78754,800.6227,1182.1978
852.1978,790.54944,780.07324,1041.978
811.0989,800.2198,784.10254,701.50183
771.2088,803.44324,784.90845,425.09158
821.1722,799.41394,792.5641,801.8315
878.3883,790.9524,802.6374,1187.4359
857.8388,785.7143,797.3993,1115.3114
812.71063,784.90845,785.7143,761.9414
769.59705,780.87915,773.6264,401.72162
871.13556,793.7729,798.20514,1191.0623
810.293,785.31134,785.7143,730.10986
871.13556,795.38464,794.57874,1139.0842
828.4249,796.99634,789.34064,802.6374
780.07324,797.3993,791.3553,434.7619
816.7399,798.20514,798.20514,664.0293
885.64105,798.60803,801.02563,1133.4432
898.93774,798.60803,806.26373,1158.4249
849.7802,800.2198,796.1905,834.0659
784.10254,792.96704,783.69965,413.4066
805.4579,791.3553,794.17584,576.1905
869.92676,796.5934,801.8315,1131.0256
869.12085,795.78754,798.20514,1196.7032
821.5751,788.93774,795.78754,869.92676
769.59705,788.5348,799.011,461.35532
779.2674,793.36993,794.17584,568.5348
841.31866,798.60803,792.1612,1098.3883
855.42126,798.20514,793.7729,1209.597
828.022,790.54944,795.38464,956.9597
764.7619,786.1172,792.96704,514.1392
761.13556,792.1612,793.7729,454.10257
843.73627,803.0403,799.41394,983.95605
840.10986,801.4286,802.23444,1047.619
880.80585,806.6667,803.0403,1214.0293
769.19415,789.34064,792.1612,568.5348
750.2564,786.1172,796.1905,422.27106
816.7399,790.54944,812.3077,973.0769
836.4835,794.9817,805.8608,1071.392
766.77655,791.75824,789.34064,616.8865
