eeg_1,eeg_2,eeg_3,eeg_4
756.30035,796.99634,790.9524,768.7912
753.47986,791.3553,785.7143,745.82416
773.6264,803.44324,799.41394,807.0696
768.7912,805.8608,799.41394,816.7399
768.7912,811.9048,795.38464,799.011
778.46155,819.5604,799.011,773.22345
759.92676,794.17584,791.75824,759.12085
786.52014,815.12823,804.65204,771.2088
785.7143,809.0842,801.02563,809.4872
778.0586,803.0403,797.3993,821.978
781.685,798.60803,799.81683,807.47253
782.49084,796.99634,797.3993,779.2674
776.4469,796.99634,796.5934,771.6117
797.3993,808.68134,805.05493,823.5897
799.011,811.9048,805.05493,817.9487
786.1172,803.44324,803.8461,811.0989
790.9524,809.4872,805.8608,794.17584
780.4762,807.8755,805.4579,774.83514
788.1319,814.3223,806.26373,807.8755
786.1172,810.696,799.81683,819.9634
781.685,806.6667,796.1905,805.05493
784.10254,808.2784,797.8022,785.31134
776.4469,803.0403,798.20514,764.35895
773.6264,803.0403,797.3993,780.4762
774.43225,800.6227,793.36993,797.3993
780.07324,801.8315,794.17584,794.17584
790.9524,811.0989,794.9817,745.0183
789.7436,811.0989,798.20514,777.25275
788.1319,812.3077,799.011,813.91943
787.326,805.8608,792.1612,802.23444
782.49084,807.47253,791.75824,787.326
776.8498,806.6667,787.72894,757.9121
786.9231,807.47253,795.78754,771.2088
772.8205,803.0403,788.1319,773.22345
780.4762,804.65204,796.99634,817.5458
781.28204,809.0842,794.17584,811.0989
780.87915,810.696,793.36993,790.54944
782.49084,807.0696,794.9817,763.5531
776.4469,794.9817,789.7436,765.9707
776.8498,795.78754,792.1612,806.6667
775.64105,802.6374,792.1612,809.4872
774.83514,801.02563,792.96704,795.78754
776.4469,798.20514,793.7729,768.7912
780.4762,802.6374,793.7729,777.25275
788.5348,807.47253,794.9817,820.7692
790.14655,804.65204,794.57874,819.9634
778.86444,797.3993,790.9524,797.8022
767.98535,796.1905,784.90845,767.5824
767.1795,801.8315,787.72894,767.5824
772.01465,802.6374,795.78754,807.47253
772.4176,798.20514,794.57874,812.71063
760.7326,800.2198,789.34064,786.52014
759.5238,805.4579,787.72894,763.1502
767.1795,805.05493,784.5055,765.16486
768.3883,802.23444,785.31134,792.96704
771.6117,805.4579,792.96704,803.44324
778.46155,807.8755,799.41394,796.1905
789.7436,805.05493,809.0842,797.3993
793.36993,800.6227,804.65204,786.9231
792.5641,799.41394,795.38464,803.44324
786.52014,799.011,796.99634,817.5458
789.7436,801.02563,796.1905,789.34064
788.1319,801.02563,796.5934,807.0696
785.7143,790.9524,794.9817,796.5934
786.1172,792.1612,796.99634,774.43225
791.75824,798.60803,792.5641,815.12823
789.34064,800.2198,787.72894,805.4579
782.8938,805.05493,785.7143,786.52014
791.3553,806.6667,792.5641,767.98535
786.1172,798.20514,791.3553,799.41394
792.5641,800.6227,794.57874,792.1612
786.1172,797.3993,791.3553,779.2674
791.75824,796.99634,793.7729,770.40295
788.5348,801.8315,792.1612,745.82416
776.8498,801.02563,792.96704,767.1795
771.6117,798.20514,796.99634,796.5934
767.5824,800.2198,797.8022,791.3553
770.80585,803.0403,801.02563,780.4762
776.04395,802.23444,801.8315,761.53845
789.34064,808.68134,805.4579,775.64105
801.4286,815.5311,809.0842,811.50183
799.011,807.8755,803.8461,804.2491
795.78754,803.0403,798.60803,788.93774
791.3553,799.41394,793.36993,761.13556
786.52014,794.17584,792.1612,752.674
786.52014,794.9817,791.3553,792.5641
796.5934,801.4286,785.7143,801.02563
803.0403,808.68134,788.1319,786.1172
798.20514,808.2784,791.3553,770.0
803.0403,803.0403,788.5348,775.2381
807.47253,805.8608,791.75824,807.0696
813.5165,812.71063,803.0403,822.7839
807.0696,803.44324,803.0403,813.5165
793.7729,794.9817,796.99634,790.54944
796.99634,804.65204,798.20514,782.0879
796.5934,815.5311,799.81683,809.89014
794.57874,811.0989,794.17584,818.3516
794.57874,810.293,788.93774,804.2491
794.9817,805.4579,799.41394,793.36993
787.326,803.8461,799.81683,778.86444
781.28204,808.68134,794.57874,796.5934
780.4762,810.293,790.9524,809.0842
790.9524,821.5751,801.8315,811.0989
798.20514,823.9927,814.3223,800.6227
780.07324,797.3993,795.78754,763.1502
777.6557,794.9817,791.75824,782.0879
802.6374,809.89014,804.2491,811.9048
803.8461,810.696,799.011,800.6227
799.011,804.65204,790.54944,774.43225
798.20514,806.6667,793.7729,760.32965
789.7436,807.8755,799.41394,783.2967
782.0879,805.8608,794.9817,799.011
781.685,805.4579,790.54944,798.20514
779.67035,806.26373,793.7729,790.54944
782.49084,806.26373,801.8315,776.04395
786.9231,803.0403,803.44324,788.1319
