eeg_1,eeg_2,eeg_3,eeg_4
862.674,733.3333,821.978,761.9414
862.674,729.707,815.12823,753.47986
842.9304,734.94507,820.3663,787.326
826.8132,738.5714,819.5604,806.6667
844.1392,732.9304,807.47253,785.31134
853.00366,732.1245,807.0696,765.56775
853.00366,736.1539,811.50183,755.4945
842.9304,736.55676,809.89014,779.2674
835.6777,741.79486,810.696,802.6374
847.76556,745.0183,815.12823,797.8022
854.61536,746.2271,815.5311,783.2967
852.1978,749.0476,815.9341,765.56775
867.50916,746.63007,819.5604,778.46155
881.6117,753.8828,823.1868,806.26373
863.0769,753.8828,815.5311,795.38464
849.3773,735.7509,806.6667,755.4945
831.2454,741.79486,813.5165,738.97437
827.2161,749.0476,819.5604,766.77655
834.0659,746.2271,815.12823,790.9524
832.0513,749.0476,807.47253,782.8938
815.5311,751.8681,808.68134,767.1795
814.7253,753.8828,810.293,743.4066
818.7546,749.45056,803.8461,743.4066
798.60803,745.0183,805.4579,768.3883
792.96704,744.61536,803.0403,763.95605
817.1429,749.85345,799.41394,751.4652
821.1722,755.09155,803.8461,730.9158
812.71063,753.0769,801.4286,728.9011
824.7985,752.27106,802.23444,759.92676
833.2601,751.4652,807.8755,762.74725
829.2308,753.47986,805.4579,741.39197
835.2747,753.47986,796.5934,713.9927
821.5751,750.65936,795.78754,716.4103
807.0696,751.8681,800.2198,754.2857
809.89014,752.27106,797.8022,757.9121
806.6667,754.2857,797.8022,742.6007
823.5897,759.5238,804.2491,729.707
856.63007,764.7619,808.68134,730.10986
864.68866,765.16486,805.05493,761.13556
837.6923,760.7326,803.44324,774.0293
802.23444,755.89746,802.6374,761.9414
784.5055,755.89746,804.2491,743.4066
780.07324,755.89746,803.0403,731.31866
804.65204,759.5238,805.4579,778.46155
830.0366,761.13556,805.8608,762.3443
779.2674,756.30035,801.8315,760.7326
828.022,751.06226,803.44324,743.4066
814.7253,746.63007,802.6374,736.1539
816.337,751.4652,801.4286,767.98535
829.2308,754.68866,793.7729,775.2381
835.6777,757.50916,784.90845,755.89746
820.3663,758.315,785.31134,745.42126
814.7253,760.32965,795.78754,741.79486
811.50183,755.09155,802.23444,758.71796
796.99634,747.8388,792.96704,767.1795
804.2491,742.1978,781.28204,747.8388
808.2784,740.18317,781.685,730.9158
794.9817,737.76556,782.8938,717.2161
796.5934,731.31866,777.25275,733.3333
782.8938,728.49817,780.4762,763.5531
767.98535,724.4689,786.1172,758.315
765.9707,721.2454,786.9231,742.1978
760.7326,726.4835,790.14655,727.6923
751.06226,726.4835,796.1905,750.65936
737.76556,727.6923,790.9524,781.685
738.5714,727.28937,781.28204,770.40295
739.3773,726.08057,782.49084,755.89746
751.4652,728.9011,781.28204,735.7509
761.13556,722.4542,782.8938,736.1539
739.3773,713.1868,784.5055,757.9121
737.3626,707.9487,782.0879,745.82416
733.73627,711.5751,788.93774,730.5128
716.8132,718.8278,796.5934,719.2308
727.6923,719.6337,794.17584,720.4396
739.3773,720.4396,793.7729,748.24176
726.4835,717.2161,790.14655,750.65936
717.619,713.1868,785.7143,740.18317
711.978,710.3663,785.7143,718.022
708.7546,710.7692,788.5348,716.0073
722.0513,713.5897,790.9524,754.2857
747.03296,718.4249,796.5934,763.95605
757.1062,721.2454,801.8315,748.6447
744.61536,719.6337,800.6227,732.9304
756.7033,717.619,794.57874,724.0659
790.14655,711.1722,791.3553,746.63007
799.41394,710.7692,794.9817,759.12085
777.25275,707.9487,792.1612,743.4066
774.83514,699.4872,785.7143,727.6923
782.0879,708.7546,795.38464,725.2747
786.52014,717.619,805.05493,750.65936
777.25275,712.381,802.6374,759.5238
782.8938,714.3956,805.05493,754.2857
816.7399,719.6337,808.2784,748.24176
806.6667,716.8132,811.0989,725.2747
753.8828,710.3663,812.71063,745.42126
745.82416,717.2161,811.50183,774.0293
771.6117,722.0513,811.50183,759.12085
766.77655,716.4103,811.9048,743.00366
761.13556,719.2308,817.1429,736.55676
778.0586,718.4249,822.7839,760.7326
775.64105,709.9634,818.7546,783.69965
765.16486,708.7546,815.5311,776.8498
755.4945,716.0073,818.7546,760.32965
743.8095,716.8132,818.7546,734.94507
749.45056,719.2308,823.1868,750.65936
775.64105,725.2747,830.84247,789.7436
787.72894,731.7216,829.2308,789.7436
796.99634,734.94507,833.2601,776.4469
794.57874,731.7216,832.4542,750.2564
788.5348,730.10986,836.8865,757.1062
799.011,744.61536,855.42126,807.47253
793.7729,745.42126,861.8681,804.2491
808.68134,733.3333,856.2271,776.04395
809.89014,737.76556,856.2271,752.674
801.02563,741.39197,854.21246,750.65936
809.0842,738.5714,854.61536,779.2674
815.5311,733.3333,861.06226,782.49084
824.3956,725.2747,858.6447,765.16486
831.6484,722.0513,850.989,738.97437
836.4835,724.87177,842.1245,732.9304
